[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000292s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000413s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001632s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001516s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001582s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000537s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000648s ]
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:35:12+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000484s ]
